Date,Treatment,pH ,mV,Salinity,Temp,TA_1,TA_2,TA_Avg,Ta_mol/kg,ALK_seacarb
2022-01-28,Acidic,7.503,-24,12.35,18.2,1120.21,955.42,1037.815,1.037815,0.001037815
2022-01-31,Acidic,7.48,-22.7,12.26,18.2,936.1,933.23,934.665,0.934665,0.000934665
2022-02-01,Acidic,7.486,-23,12.86,17.9,,,,,
2022-02-02,Acidic,7.465,-21.9,12.72,18,,,,,
2022-02-03,Acidic,7.457,-21.4,12.61,18.1,937.59,926.72,932.155,0.932155,0.000932155
2022-02-04,Acidic,7.516,-24,12.82,18,,,,,
2022-02-07,Acidic,7.545,-25.5,12.67,18,926.04,922.35,924.195,0.924195,0.000924195
2022-02-08,Acidic,7.56,-24.6,12.56,18,,,,,
2022-02-10,Acidic,7.479,-21.9,12.51,18.1,966.53,937.65,952.09,0.95209,0.00095209
2022-02-12,Acidic,7.478,-21.8,12.56,18.1,966.11,961.34,963.725,0.963725,0.000963725
2022-02-14,Acidic,7.476,-21.6,12.56,18.2,959.6,964.49,962.045,0.962045,0.000962045
2022-02-15,Acidic,7.497,-22.9,12.66,18.1,,,,,
2022-02-16,Acidic,7.491,-22.6,12.75,18.1,,,,,
2022-02-17,Acidic,7.44,-19.7,12.75,18.2,974.18,963.93,969.055,0.969055,0.000969055
2022-02-18,Acidic,7.442,-21.1,12.8,18.1,,,,,
2022-02-21,Acidic,7.469,-22.6,12.97,18.1,971.92,973.24,972.58,0.97258,0.00097258
2022-02-22,Acidic,7.426,-20.2,12.97,18.2,,,,,
2022-02-23,Acidic,7.468,-22.5,13.06,18.1,980.94,973.55,977.245,0.977245,0.000977245
2022-02-28,Acidic,7.383,-17.8,12.25,18.2,903.41,924.1,913.755,0.913755,0.000913755
2022-03-01,Acidic,7.399,-18.7,12.18,18.1,,,,,
2022-03-03,Acidic,7.505,-24.6,12.27,18.2,,,,,
2022-03-04,Acidic,7.431,-20.4,12.33,18.2,917.31,914.89,916.1,0.9161,0.0009161
2022-03-05,Acidic,7.401,-18.8,12.3,18,,,,,
2022-03-06,Acidic,7.401,-18.7,12.26,18,921.65,937.12,929.385,0.929385,0.000929385
2022-03-07,Acidic,7.382,-17.7,11.9,18,,,,,
2022-03-08,Acidic,7.467,-22.4,12.23,18,,,,,
2022-03-09,Acidic,7.421,-19.8,12.32,17.9,934.9,962.8,948.85,0.94885,0.00094885
2022-03-10,Acidic,7.433,-20.5,12.56,18,,,,,
2022-03-14,Acidic,7.431,-20.4,12.63,17.7,2393.1,,2393.1,2.3931,0.0023931
2022-03-15,Acidic,7.404,-18.9,12.89,17.9,,,,,
2022-03-17,Acidic,7.306,-13.4,12.96,17.9,1146.09,1503.78,1324.935,1.324935,0.001324935
2022-03-21,Acidic,7.325,-14.5,12.1,17.7,2069.5,1628.28,1848.89,1.84889,0.00184889
2022-03-22,Acidic,7.311,-13.7,12,18,,,,,
2022-03-23,Acidic,7.345,-15.7,12.05,18.1,,,,,
2022-03-24,Acidic,7.309,-13.6,12.36,18.1,2377.7,2113.98,2245.84,2.24584,0.00224584
2022-03-28,Acidic,7.326,-14.6,12.18,18,1924.44,2125.33,2024.885,2.024885,0.002024885
2022-03-29,Acidic,7.291,-12.6,12.27,18,,,,,
2022-03-30,Acidic,7.295,-12.9,12.5,18.2,,,,,
2022-03-31,Acidic,7.312,-13.8,12.61,18.1,940.44,1116.5,1028.47,1.02847,0.00102847
2022-04-08,Acidic,7.281,-12.1,12.43,18.2,1336.27,1907.48,1621.875,1.621875,0.001621875
2022-04-20,Acidic,7.433,-18.2,12.34,18.1,778.19,1551.94,1165.065,1.165065,0.001165065
2022-04-21,Acidic,7.356,-17,12.43,18.3,,,,,
2022-04-22,Acidic,7.31,-11.4,12.42,18.2,,,,,
