Date,Treatment ,Sperm_Con,Por_Fert,Per_Fert,Sperm_Con_Smaller
Week 2,Control,128750,0.4,40,1.2875
Week 2,Control,128750,0.3125,31.25,1.2875
Week 2,Control,128750,0.604166667,60.41666667,1.2875
Week 2,Acidic,128750,0.725490196,72.54901961,1.2875
Week 2,Acidic,128750,0.725,72.5,1.2875
Week 2,Acidic,128750,0.774647887,77.46478873,1.2875
Week 2,Control,643750,0.323308271,32.33082707,6.4375
Week 2,Control,643750,0.580645161,58.06451613,6.4375
Week 2,Control,643750,0.25,25,6.4375
Week 2,Acidic,643750,0.554545455,55.45454545,6.4375
Week 2,Acidic,643750,0.8,80,6.4375
Week 2,Acidic,643750,0.941860465,94.18604651,6.4375
Week 2,Control,321875,0.066115702,6.611570248,3.21875
Week 2,Control,321875,0.422222222,42.22222222,3.21875
Week 2,Control,321875,0.161538462,16.15384615,3.21875
Week 2,Acidic,321875,0.209302326,20.93023256,3.21875
Week 2,Acidic,321875,0.676470588,67.64705882,3.21875
Week 2,Acidic,321875,0.45,45,3.21875
Week 2,Control,160938,0.125,12.5,1.60938
Week 2,Control,160938,0.298507463,29.85074627,1.60938
Week 2,Control,160938,0.058139535,5.813953488,1.60938
Week 2,Acidic,160938,0.049180328,4.918032787,1.60938
Week 2,Acidic,160938,0.581395349,58.13953488,1.60938
Week 2,Acidic,160938,0.016666667,1.666666667,1.60938
Week 4,Control,1250000,0.45049505,45.04950495,12.5
Week 4,Control,1250000,0.14527027,14.52702703,12.5
Week 4,Control,1250000,0.286666667,28.66666667,12.5
Week 4,Acidic,1250000,0.942528736,94.25287356,12.5
Week 4,Acidic,1250000,0.471014493,47.10144928,12.5
Week 4,Acidic,1250000,0.948453608,94.84536082,12.5
Week 4,Control,625000,0.141078838,14.10788382,6.25
Week 4,Control,625000,0.398550725,39.85507246,6.25
Week 4,Control,625000,0.739130435,73.91304348,6.25
Week 4,Acidic,625000,0.682170543,68.21705426,6.25
Week 4,Acidic,625000,0.980769231,98.07692308,6.25
Week 4,Acidic,625000,0.646153846,64.61538462,6.25
Week 4,Control,312500,0.268199234,26.81992337,3.125
Week 4,Control,312500,0.047413793,4.74137931,3.125
Week 4,Control,312500,0.257668712,25.76687117,3.125
Week 4,Acidic,312500,0.725490196,72.54901961,3.125
Week 4,Acidic,312500,0.464788732,46.47887324,3.125
Week 4,Acidic,312500,0.721649485,72.16494845,3.125
Week 4,Control,156250,0.148148148,14.81481481,1.5625
Week 4,Control,156250,0.102857143,10.28571429,1.5625
Week 4,Control,156250,0.367549669,36.75496689,1.5625
Week 4,Acidic,156250,0.873239437,87.32394366,1.5625
Week 4,Acidic,156250,0.260273973,26.02739726,1.5625
Week 4,Acidic,156250,0.226804124,22.68041237,1.5625
Week 9,Control,800250,0.651340996,65.13409962,8.0025
Week 9,Control,800250,0.56462585,56.46258503,8.0025
Week 9,Control,800250,0.663888889,66.38888889,8.0025
Week 9,Acidic,800250,0.377643505,37.76435045,8.0025
Week 9,Acidic,800250,0.202205882,20.22058824,8.0025
Week 9,Acidic,800250,0.32421875,32.421875,8.0025
Week 9,Control,400125,0.782407407,78.24074074,4.00125
Week 9,Control,400125,0.120437956,12.04379562,4.00125
Week 9,Control,400125,0.763888889,76.38888889,4.00125
Week 9,Acidic,400125,0.307692308,30.76923077,4.00125
Week 9,Acidic,400125,0.186440678,18.6440678,4.00125
Week 9,Acidic,400125,0.040909091,4.090909091,4.00125
Week 9,Control,200062,0.341954023,34.1954023,2.00062
Week 9,Control,200062,0.133819951,13.38199513,2.00062
Week 9,Control,200062,0.084337349,8.43373494,2.00062
Week 9,Acidic,200062,0.336956522,33.69565217,2.00062
Week 9,Acidic,200062,0.099125364,9.912536443,2.00062
Week 9,Acidic,200062,0.474025974,47.4025974,2.00062
Week 9,Control,1600500,0.567901235,56.79012346,16.005
Week 9,Control,1600500,0.805921053,80.59210526,16.005
Week 9,Control,1600500,0.787528868,78.75288684,16.005
Week 9,Acidic,1600500,0.076190476,7.619047619,16.005
Week 9,Acidic,1600500,0.420529801,42.05298013,16.005
Week 9,Acidic,1600500,0.599009901,59.9009901,16.005
