Date,Treatment,Prct_settled
Week 4,Acidic,94.23076923
Week 4,Acidic,83.33333333
Week 4,Acidic,100
Week 4,Acidic,90
Week 4,Acidic,94.11764706
Week 4,Acidic,71.42857143
Week 4,Acidic,68.75
Week 4,Acidic,91.66666667
Week 4,Acidic,83.78378378
Week 4,Acidic,100
Week 4,Acidic,80
Week 4,Acidic,68.75
Week 4,Ambient,85.71428571
Week 4,Ambient,75
Week 4,Ambient,83.33333333
Week 4,Ambient,50
Week 4,Ambient,37.5
Week 4,Ambient,92.85714286
Week 4,Ambient,100
Week 4,Ambient,50
Week 4,Ambient,66.66666667
Week 4,Ambient,100
Week 4,Ambient,20
Week 4,Ambient,75
Week 9,Acidic,33.33333333
Week 9,Acidic,51.61290323
Week 9,Acidic,60.2739726
Week 9,Acidic,22.80701754
Week 9,Acidic,27.27272727
Week 9,Acidic,21.21212121
Week 9,Acidic,30
Week 9,Acidic,18.18181818
Week 9,Acidic,50
Week 9,Acidic,25.80645161
Week 9,Acidic,50
Week 9,Acidic,50
Week 9,Ambient,72.22222222
Week 9,Ambient,43.5483871
Week 9,Ambient,68.65671642
Week 9,Ambient,70
Week 9,Ambient,39.13043478
Week 9,Ambient,43.75
Week 9,Ambient,36.36363636
Week 9,Ambient,12.5
Week 9,Ambient,42.20183486
Week 9,Ambient,23.88059701
Week 9,Ambient,24
Week 9,Ambient,20
