Treatment,Date,Fecundity,Fecundity_div
Acidic,Week 2,236500,2.365
Ambient,Week 2,257500,2.575
Acidic,Week 4,666667,6.66667
Acidic,Week 4,316667,3.16667
Acidic,Week 4,266667,2.66667
Ambient,Week 4,412500,4.125
Ambient,Week 4,1583333,15.83333
Ambient,Week 4,50000,0.5
Acidic,Week 7,532951,5.32951
Acidic,Week 7,417338,4.17338
Acidic,Week 7,518259,5.18259
Ambient,Week 7,520535,5.20535
Ambient,Week 7,679250,6.7925
Ambient,Week 7,712023,7.12023
Acidic,Week 9,741249,7.41249
Acidic,Week 9,510074,5.10074
Acidic,Week 9,457736,4.57736
Ambient,Week 9,605327,6.05327
Ambient,Week 9,509433,5.09433
Ambient,Week 9,391593,3.91593
Acidic,Week 11,1377464,13.77464
Acidic,Week 11,1406056,14.06056
Acidic,Week 11,325077,3.25077
Acidic,Week 11,526210,5.2621
Acidic,Week 11,663417,6.63417
Acidic,Week 11,884271,8.84271
Acidic,Week 11,1378933,13.78933
Acidic,Week 11,748923,7.48923
Acidic,Week 11,764423,7.64423
Ambient,Week 11,489610,4.8961
Ambient,Week 11,891084,8.91084
Ambient,Week 11,1938613,19.38613
Ambient,Week 11,212089,2.12089
Ambient,Week 11,601125,6.01125
Ambient,Week 11,424498,4.24498
Ambient,Week 11,342889,3.42889
Ambient,Week 11,309156,3.09156
Ambient,Week 11,412195,4.12195
Ambient,Week 11,882020,8.8202
Acidic,Week 13,295065,2.95065
Acidic,Week 13,805428,8.05428
Acidic,Week 13,255334,2.55334
Acidic,Week 13,602229,6.02229
Acidic,Week 13,1873902,18.73902
Acidic,Week 13,687965,6.87965
Acidic,Week 13,1524025,15.24025
Acidic,Week 13,790643,7.90643
Acidic,Week 13,872451,8.72451
Ambient,Week 13,910420,9.1042
Ambient,Week 13,988265,9.88265
Ambient,Week 13,1905739,19.05739
Ambient,Week 13,947612,9.47612
Ambient,Week 13,1095774,10.95774
Ambient,Week 13,378017,3.78017
Ambient,Week 13,384306,3.84306
Ambient,Week 13,717934,7.17934
Ambient,Week 13,468711,4.68711
Ambient,Week 13,1178929,11.78929
